lag,corr_ldaps_ws10,corr_gfs_ws10,corr_gfs_ws100
-6,0.6976433098299284,0.5688926267988493,0.5667640422192438
-5,0.7178442467098438,0.5827140840065604,0.5804596721589489
-4,0.7350103611285832,0.5956340676035884,0.5936579857937728
-3,0.7500967174140041,0.6071832148256914,0.605466877319423
-2,0.7632497032657117,0.6165017109136555,0.6151316272719323
-1,0.771619916195238,0.6221213024871539,0.6217023447252953
0,0.7720205439456087,0.6238370220340013,0.625077523237301
1,0.7643949295438459,0.6189851334834597,0.6222899073838297
2,0.7498335694258454,0.6084820150404234,0.6141877303647406
3,0.7292611706218214,0.5961581724259273,0.604155783627754
4,0.7049446774650325,0.5825800057945628,0.5920989842727192
5,0.6795475505947264,0.5685085003092055,0.5787161247986713
6,0.6540184418789338,0.5524836843538369,0.5625326434926915
