group_id,recipe,score,nmae,ficr,n_estimators,learning_rate,num_leaves,min_child_samples,feature_fraction,bagging_fraction
1,physics,0.6191286414353423,0.119802899495408,0.3580601823660925,600,0.03,15,30,0.8,0.8
1,physics,0.6154612981405027,0.120912844135628,0.3518354404166334,200,0.08,15,10,1.0,0.8
1,physics,0.6052946663395682,0.1215528595577234,0.3321421922368598,200,0.03,15,10,0.8,0.8
1,physics,0.6131096517020544,0.1234811746803606,0.3497004780844694,600,0.08,63,30,0.8,1.0
1,physics,0.6201799904059637,0.120583193211699,0.3609431740236263,600,0.05,15,10,1.0,1.0
1,physics,0.6164405410087649,0.1200650378119822,0.352946119829512,400,0.03,15,30,0.8,0.8
1,physics,0.6158150234011284,0.1195658153719838,0.3511958621742405,400,0.03,31,30,1.0,0.8
1,physics,0.6152750752726823,0.1214617924448207,0.3520119429901853,600,0.05,63,10,1.0,0.8
1,physics,0.6176526445261931,0.1209478470408086,0.3562531360931947,400,0.05,31,10,1.0,1.0
1,physics,0.6165213659947144,0.1215308286457079,0.3545735606351368,200,0.08,31,10,0.8,0.8
1,physics,0.6177875693508239,0.1199071045548218,0.3554822432564696,400,0.03,31,30,0.8,0.8
1,physics,0.6136240286655266,0.1210535499956069,0.34830160732666,200,0.05,63,30,0.8,0.8
1,physics,0.6203452211509239,0.1207772492040095,0.3614676915058575,600,0.08,31,30,0.8,0.8
1,physics,0.6120771502146776,0.1211852702511017,0.3453395706804569,400,0.05,31,10,0.8,1.0
1,physics,0.6139964337921333,0.1232639645893385,0.351256832173605,400,0.08,63,30,0.8,1.0
1,physics,0.6144167270412512,0.1203537023124424,0.3491871563949446,600,0.03,63,10,1.0,0.8
1,physics,0.6139918549964205,0.1221221781893349,0.3501058881821759,600,0.08,31,30,0.8,1.0
1,physics,0.6195268823266511,0.1210425060853528,0.3600962707386549,600,0.08,31,10,1.0,0.8
1,physics,0.6148876883056925,0.1206311800832845,0.3504065566946696,200,0.05,15,30,1.0,0.8
1,physics,0.6108461822887382,0.1235848197242341,0.3452771843017105,200,0.08,63,10,0.8,1.0
1,physics,0.6177458873502945,0.1198422924274807,0.3553340671280696,400,0.03,31,10,0.8,0.8
1,physics,0.6173427900492148,0.1212910327555295,0.355976612853959,600,0.03,63,30,1.0,1.0
2,full,0.6550655273775297,0.1198710025155184,0.4300020572705776,600,0.03,15,30,0.8,0.8
2,full,0.6476652134636921,0.1207556769951668,0.4160861039225509,200,0.08,15,10,1.0,0.8
2,full,0.6464318617306685,0.1208981413177401,0.413761864779077,200,0.03,15,10,0.8,0.8
2,full,0.6482396965419006,0.1220745563370712,0.4185539494208726,600,0.08,63,30,0.8,1.0
2,full,0.6500306509547875,0.1211782617913851,0.42123956370096,600,0.05,15,10,1.0,1.0
2,full,0.6542748163418011,0.1198386844617428,0.428388317145345,400,0.03,15,30,0.8,0.8
2,full,0.6557534708546785,0.1196647364980366,0.4311716782073936,400,0.03,31,30,1.0,0.8
2,full,0.651690373508851,0.1208598150702395,0.4242405620879415,600,0.05,63,10,1.0,0.8
2,full,0.6486746852680358,0.1207162377918013,0.418065608327873,600,0.05,63,30,0.8,0.8
2,full,0.6471567053995888,0.1214922276674248,0.4158056384666023,200,0.08,15,30,0.8,0.8
2,full,0.6544644611588831,0.1202166052359718,0.4291455275537381,200,0.05,31,30,1.0,0.8
2,full,0.6518113404721002,0.1210010723618477,0.424623753306048,400,0.05,15,30,0.8,0.8
2,full,0.6481015559101307,0.1219369860750109,0.4181400978952725,600,0.08,15,10,1.0,1.0
2,full,0.6424493686479111,0.1240435919994707,0.408942329295293,400,0.08,63,10,1.0,0.8
2,full,0.6529085978167259,0.1197198880881005,0.4255370837215525,200,0.03,31,30,1.0,0.8
2,full,0.6488908537510002,0.1217753918086535,0.4195570993106538,200,0.08,63,30,0.8,1.0
2,full,0.6412332539098575,0.1238667278187438,0.4063332356384589,400,0.08,31,10,1.0,0.8
2,full,0.6497166919951342,0.1221444938056014,0.4215778777958697,200,0.08,63,30,1.0,1.0
3,full,0.5835899728306296,0.13579786327611013,0.3029778089373694,600,0.03,15,30,0.8,0.8
3,full,0.5861068984713658,0.13537324994677724,0.30758704688950883,200,0.08,15,10,1.0,0.8
3,full,0.5825339484343375,0.13545623543228927,0.3005241323009643,200,0.03,15,10,0.8,0.8
3,full,0.5771306147935273,0.13973788699883377,0.2939991165858884,600,0.08,63,30,0.8,1.0
3,full,0.5791702096410595,0.13844968838407748,0.2967901076661964,600,0.05,15,10,1.0,1.0
3,full,0.5837842204042822,0.13506046512044037,0.30262890592900477,400,0.03,15,30,0.8,0.8
3,full,0.5789105259901002,0.13613295437351391,0.29395400635371416,400,0.03,31,30,1.0,0.8
3,full,0.5753178617077291,0.14003077006412942,0.2906664934795878,600,0.05,63,10,1.0,0.8
3,full,0.5804557078624989,0.13730580324159156,0.2982172189665894,600,0.05,63,30,0.8,0.8
3,full,0.5778856102020268,0.13800032361502737,0.29377154401908084,200,0.08,15,30,0.8,0.8
3,full,0.5783024026434367,0.13687072303356104,0.29347552832043444,200,0.05,31,30,1.0,0.8
3,full,0.5813249195331756,0.1366750653380541,0.29932490440440507,400,0.05,15,30,0.8,0.8
3,full,0.5791162799863663,0.13791200693059613,0.2961445669033286,600,0.08,15,10,1.0,1.0
3,full,0.5767963100458314,0.13963713631889768,0.29322975641056065,400,0.08,63,10,1.0,0.8
3,full,0.5806597193509047,0.13508015565852904,0.2963995943603383,200,0.03,31,30,1.0,0.8
3,full,0.5771071211953591,0.13922076503256742,0.29343500742328577,200,0.08,63,30,0.8,1.0
3,full,0.5777703108537543,0.13836461898824082,0.2939052406957494,400,0.08,31,10,1.0,0.8
3,full,0.5854293643451962,0.13787512507645047,0.30873385376684304,200,0.08,63,30,1.0,1.0
