group_id,recipe,ratio,wind_thresh,n_flagged,score,nmae,ficr
1,physics,0.2,7.0,341,0.619361327884158,0.12054923847116,0.3592718942394761
1,physics,0.2,8.0,296,0.6192536581883819,0.1215032320422204,0.3600105484189843
1,physics,0.3,7.0,156,0.6176461939236746,0.1215394239841418,0.356831811831491
1,physics,0.3,8.0,137,0.6113107512575515,0.1224807301399683,0.3451022326550714
1,physics,0.2,6.0,365,0.6201799904059637,0.120583193211699,0.3609431740236263
1,physics,0.2,7.0,341,0.619361327884158,0.12054923847116,0.3592718942394761
1,physics,0.2,8.0,296,0.6192536581883819,0.1215032320422204,0.3600105484189843
1,physics,0.2,9.0,264,0.6143569386534353,0.1218085494896209,0.3505224267964916
1,physics,0.25,6.0,253,0.615980783707279,0.121074186443063,0.3530357538576213
1,physics,0.25,7.0,240,0.6133296053588688,0.1217186767537841,0.3483778874715218
1,physics,0.25,8.0,207,0.6131090683289154,0.1220610118539515,0.3482791485117824
1,physics,0.25,9.0,186,0.6120798271502004,0.1230224384529775,0.3471820927533783
1,physics,0.3,6.0,156,0.6176461939236746,0.1215394239841418,0.356831811831491
1,physics,0.3,7.0,156,0.6176461939236746,0.1215394239841418,0.356831811831491
1,physics,0.3,8.0,137,0.6113107512575515,0.1224807301399683,0.3451022326550714
1,physics,0.3,9.0,124,0.6139882380505022,0.1226376078655711,0.3506140839665753
1,physics,0.35,6.0,114,0.6126525765830629,0.1225380325548138,0.3478431857209396
1,physics,0.35,7.0,114,0.6126525765830629,0.1225380325548138,0.3478431857209396
1,physics,0.35,8.0,109,0.6125953973808593,0.1222982387143252,0.3474890334760439
1,physics,0.35,9.0,98,0.6133558783049744,0.1217307426769056,0.3484424992868545
1,physics,0.4,6.0,88,0.6130686819389609,0.1224597861773497,0.3485971500552716
1,physics,0.4,7.0,88,0.6130686819389609,0.1224597861773497,0.3485971500552716
1,physics,0.4,8.0,86,0.6107570975929073,0.1221615819914442,0.3436757771772589
1,physics,0.4,9.0,81,0.6118743990461973,0.122576274607592,0.3463250726999867
2,full,0.2,7.0,224,0.6514920969552054,0.1209348258020241,0.4239190197124348
2,full,0.2,8.0,188,0.6482117876762177,0.1207733833472024,0.4171969586996378
2,full,0.3,7.0,121,0.6542973168670413,0.1201344215147236,0.4287290552488063
2,full,0.3,8.0,100,0.6507631239705552,0.1207868933136892,0.4223131412547998
2,full,0.2,6.0,259,0.6479456325759485,0.1209691482155903,0.4168604133674874
2,full,0.2,7.0,224,0.6514920969552054,0.1209348258020241,0.4239190197124348
2,full,0.2,8.0,188,0.6482117876762177,0.1207733833472024,0.4171969586996378
2,full,0.2,9.0,164,0.6483226859732101,0.1211015110940273,0.4177468830404476
2,full,0.25,6.0,165,0.6528893917088994,0.1202922391612249,0.4260710225790236
2,full,0.25,7.0,151,0.6499443720136427,0.1205711380376497,0.4204598820649353
2,full,0.25,8.0,120,0.6526773452190823,0.1203572500044061,0.4257119404425706
2,full,0.25,9.0,99,0.652863944541293,0.1203033663799473,0.4260312554625334
2,full,0.3,6.0,121,0.6542973168670413,0.1201344215147236,0.4287290552488063
2,full,0.3,7.0,121,0.6542973168670413,0.1201344215147236,0.4287290552488063
2,full,0.3,8.0,100,0.6507631239705552,0.1207868933136892,0.4223131412547998
2,full,0.3,9.0,84,0.6503621632954092,0.1207994367944432,0.4215237633852617
2,full,0.35,6.0,98,0.6550655273775297,0.1198710025155184,0.4300020572705776
2,full,0.35,7.0,98,0.6550655273775297,0.1198710025155184,0.4300020572705776
2,full,0.35,8.0,91,0.65138222409491,0.1205352022618678,0.4232996504516877
2,full,0.35,9.0,75,0.6516947003276097,0.1203470971087112,0.4237364977639304
2,full,0.4,6.0,92,0.652458197214727,0.1204493046558195,0.4253656990852736
2,full,0.4,7.0,92,0.652458197214727,0.1204493046558195,0.4253656990852736
2,full,0.4,8.0,88,0.6502719602781114,0.1203275856515904,0.4208715062078133
2,full,0.4,9.0,73,0.6469405199420225,0.12091018036763,0.414791220251675
3,full,0.2,6.0,267,0.5835721020022078,0.13468617591910018,0.3018303799235156
3,full,0.2,7.0,250,0.5827166131699308,0.1348280232803684,0.30026124962023015
3,full,0.2,8.0,241,0.5806914118071393,0.13512122386583317,0.29650404748011194
3,full,0.2,9.0,225,0.581532463116794,0.13487113260066322,0.2979360588342512
3,full,0.25,6.0,215,0.5805126354594076,0.13560446244246824,0.2966297333612834
3,full,0.25,7.0,203,0.5811548059128605,0.13538137490275667,0.29769098672847777
3,full,0.25,8.0,195,0.582007098312996,0.13505334702982366,0.2990675436558156
3,full,0.25,9.0,187,0.5818992477813575,0.1355208091505466,0.2993193047132617
3,full,0.3,6.0,174,0.5813745543065814,0.13586585679488744,0.29861496540805016
3,full,0.3,7.0,170,0.5795626528617861,0.1361053154544707,0.29523062117804283
3,full,0.3,8.0,164,0.578990627891609,0.13621160062812793,0.2941928564113462
3,full,0.3,9.0,158,0.5791043472717556,0.13582604331598136,0.29403473785949275
3,full,0.35,6.0,146,0.5775190804577497,0.1360050014771397,0.29104316239263917
3,full,0.35,7.0,146,0.5775190804577497,0.1360050014771397,0.29104316239263917
3,full,0.35,8.0,143,0.5791405949336812,0.13560950678742814,0.2938906966547905
3,full,0.35,9.0,137,0.5776507526615213,0.13675165604453457,0.2920531613675771
3,full,0.4,6.0,103,0.5756672378428034,0.13768238925653525,0.2890168649421422
3,full,0.4,7.0,103,0.5756672378428034,0.13768238925653525,0.2890168649421422
3,full,0.4,8.0,103,0.5756672378428034,0.13768238925653525,0.2890168649421422
3,full,0.4,9.0,99,0.5757306591595142,0.13696740466532842,0.28842872298435673
